catalog,bare_valve_code,series,size,end_connection,num_empty,all_empty,empty_positions
ball,2090FP0037,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0038,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0039,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0040,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0041,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0042,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0043,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0044,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0045,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0046,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0047,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0048,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0049,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0050,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0051,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0052,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0053,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0054,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0055,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
